ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Character,CharacterVariants,Pinyin,WordFamily,FormVariants
MiddleChinese-38-AkindofbamboofromsouthwestChina-1,bā3,MiddleChinese,38-AkindofbamboofromsouthwestChina,"baᴮ,pa",baᴮ,,,Schuessler2007,38,,,,笆,,bā,bā3,
MiddleChinese-39-Bamboohedgeorfence-1,bā,MiddleChinese,39-Bamboohedgeorfence,pa,pa,,,Schuessler2007,39,,,,笆,,bā,bā3,
LateHanChinese-40-Scar-1,bā4,LateHanChinese,40-Scar,pa ?,pa_?,,,Schuessler2007,40,,,,疤,,bā,bā4,
MiddleChinese-40-Scar-1,bā4,MiddleChinese,40-Scar,pa,pa,,,Schuessler2007,40,,,,疤,,bā,bā4,
OldChinese-41-Wildpigpig-1,bā5,OldChinese,41-Wildpigpig,*prâ,prâ,,,Schuessler2007,41,,,,豝,,bā,bā5,
LateHanChinese-41-Wildpigpig-1,bā5,LateHanChinese,41-Wildpigpig,pa,pa,,,Schuessler2007,41,,,,豝,,bā,bā5,
MiddleChinese-41-Wildpigpig-1,bā5,MiddleChinese,41-Wildpigpig,pa,pa,,,Schuessler2007,41,,,,豝,,bā,bā5,
OldChinese-43-Toexpel-1,bá1,OldChinese,43-Toexpel,*bât,bât,,,Schuessler2007,43,,,,犮,,bá,bá1,
LateHanChinese-43-Toexpel-1,bá1,LateHanChinese,43-Toexpel,bɑt,bɑt,,,Schuessler2007,43,,,,犮,,bá,bá1,
MiddleChinese-43-Toexpel-1,bá1,MiddleChinese,43-Toexpel,buât,buât,,,Schuessler2007,43,,,,犮,,bá,bá1,
OldChinese-44-Uprooted-1,"bèi,pèi",OldChinese,44-Uprooted,*bâts,bâts,,,Schuessler2007,44,,,,拔,拔沛,"bèi,pèi",bá1,
LateHanChinese-44-Uprooted-1,"bèi,pèi",LateHanChinese,44-Uprooted,bɑs,bɑs,,,Schuessler2007,44,,,,拔,拔沛,"bèi,pèi",bá1,
MiddleChinese-44-Uprooted-1,"bèi,pèi",MiddleChinese,44-Uprooted,buâiᶜ,buâiᶜ,,,Schuessler2007,44,,,,拔,拔沛,"bèi,pèi",bá1,
